#Gene	COSMIC_Tier1(n=578)	NEJM_Neuro(n=376)	PanCancer_SMGs(n=127)
FCGR2B	Tier1	NA	NA
STIL	Tier1	NA	NA
PRKCG	NA	NeuroD	NA
HIST1H3B	Tier1	NA	NA
EBF1	Tier1	NA	NA
DYNC1H1	NA	NeuroD	NA
PDCD1LG2	Tier1	NA	NA
LMNA	Tier1	NeuroD	NA
HBA2	NA	NeuroD	NA
PPP3CB	NA	NeuroD	NA
PBX1	Tier1	NA	NA
MIR142	NA	NA	CancerSMG
BCL6	Tier1	NA	NA
ABI1	Tier1	NA	NA
NOTCH1	Tier1	NA	CancerSMG
NOTCH2	Tier1	NA	NA
ACKR3	Tier1	NA	NA
EPHB6	NA	NA	CancerSMG
ADH1C	NA	NeuroD	NA
ARHGAP35	Tier1	NA	CancerSMG
CANT1	Tier1	NA	NA
HTT	NA	NeuroD	NA
FOXL2	Tier1	NA	NA
CNTRL	Tier1	NA	NA
PTCH1	Tier1	NA	NA
SYT14	NA	NeuroD	NA
SLC6A3	NA	NeuroD	NA
CRLF2	Tier1	NA	NA
SND1	Tier1	NA	NA
SLC6A4	NA	NeuroD	NA
AFF3	Tier1	NA	NA
FBXO11	Tier1	NA	NA
AOC3	NA	NeuroD	NA
ERGIC1	NA	NeuroD	NA
SFTA3	NA	NeuroD	NA
EPPK1	NA	NA	CancerSMG
ZNF384	Tier1	NA	NA
CALM2	NA	NeuroD	NA
CALM3	NA	NeuroD	NA
CALM1	NA	NeuroD	NA
CACNA1A	NA	NeuroD	NA
PARK7	NA	NeuroD	NA
MAP3K1	Tier1	NA	CancerSMG
CACNA1D	Tier1	NeuroD	NA
CBFA2T3	Tier1	NA	NA
CACNA1G	NA	NeuroD	NA
PLA2G6	NA	NeuroD	NA
MAGI3	NA	NeuroD	NA
NUP214	Tier1	NA	NA
VPS35	NA	NeuroD	NA
DCT	NA	NeuroD	NA
HIST1H1C	NA	NA	CancerSMG
H3F3B	Tier1	NA	NA
BRCA1	Tier1	NA	CancerSMG
ERBB3	Tier1	NA	NA
BRCA2	Tier1	NA	CancerSMG
VRK1	NA	NeuroD	NA
NF1	Tier1	NA	CancerSMG
ERBB4	Tier1	NA	CancerSMG
SCN1A	NA	NeuroD	NA
TRIM24	Tier1	NA	NA
IDH2	Tier1	NA	CancerSMG
IDH1	Tier1	NA	CancerSMG
TRIM27	Tier1	NA	NA
CREB3	NA	NeuroD	NA
CREB1	Tier1	NeuroD	NA
PER1	Tier1	NA	NA
GM2A	NA	NeuroD	NA
RPL10	Tier1	NA	NA
BRD4	Tier1	NA	NA
PATZ1	Tier1	NA	NA
FGFR4	Tier1	NA	NA
SETD2	Tier1	NA	CancerSMG
FGFR2	Tier1	NeuroD	CancerSMG
FGFR3	Tier1	NeuroD	CancerSMG
FGFR1	Tier1	NA	NA
RSPO3	Tier1	NA	NA
RSPO2	Tier1	NA	NA
ATIC	Tier1	NA	NA
NIN	Tier1	NA	NA
PTPN13	Tier1	NA	NA
MIR155	NA	NeuroD	NA
KIF5B	Tier1	NeuroD	NA
KIF5C	NA	NeuroD	NA
PPFIBP1	Tier1	NA	NA
TCF7L2	Tier1	NA	NA
KIT	Tier1	NA	CancerSMG
FOXA1	Tier1	NA	CancerSMG
RUNX1	Tier1	NA	CancerSMG
PNPO	NA	NeuroD	NA
EDAR	NA	NeuroD	NA
PRRX1	Tier1	NA	NA
MYO5A	Tier1	NA	NA
SMARCA4	Tier1	NA	NA
LZTR1	Tier1	NA	NA
RNF213	Tier1	NA	NA
EMD	NA	NeuroD	NA
APP	NA	NeuroD	NA
GBA	NA	NeuroD	NA
GRIA2	NA	NeuroD	NA
GNAO1	NA	NeuroD	NA
HRAS	Tier1	NA	NA
GRIA1	NA	NeuroD	NA
HIF1A	Tier1	NA	NA
CRTC1	Tier1	NA	NA
TNFRSF17	Tier1	NA	NA
CRTC3	Tier1	NA	NA
XRCC1	NA	NeuroD	NA
NDRG1	Tier1	NA	NA
DAB1	NA	NeuroD	NA
DAXX	Tier1	NA	NA
SDHAF2	Tier1	NA	NA
PPM1D	Tier1	NA	NA
MAML2	Tier1	NA	NA
SLC9A1	NA	NeuroD	NA
SRSF3	Tier1	NA	NA
PDE4DIP	Tier1	NA	NA
NONO	Tier1	NA	NA
CHODL	NA	NeuroD	NA
AFF4	Tier1	NeuroD	NA
JUN	Tier1	NA	NA
PRKACG	NA	NeuroD	NA
AFF1	Tier1	NA	NA
ROS1	Tier1	NA	NA
GNG4	NA	NeuroD	NA
PPP6C	Tier1	NA	NA
SMPD1	NA	NeuroD	NA
B4GALT3	NA	NA	CancerSMG
CHEK2	Tier1	NA	CancerSMG
ADAMTS5	NA	NeuroD	NA
PLCB2	NA	NeuroD	NA
PLCB3	NA	NeuroD	NA
PLCB4	NA	NeuroD	NA
FOS	NA	NeuroD	NA
TSHZ2	NA	NA	CancerSMG
TSHZ3	NA	NA	CancerSMG
PRKACB	NA	NeuroD	NA
TMEM240	NA	NeuroD	NA
TRRAP	Tier1	NA	NA
GBP4	NA	NeuroD	NA
PAX5	Tier1	NA	NA
PAX7	Tier1	NA	NA
UBA5	NA	NeuroD	NA
PAX3	Tier1	NA	NA
UBA1	NA	NeuroD	NA
DDC	NA	NeuroD	NA
APTX	NA	NeuroD	NA
PAX8	Tier1	NA	NA
GPHN	Tier1	NA	NA
SETMAR	NA	NeuroD	NA
HOXC11	Tier1	NA	NA
ASPSCR1	Tier1	NA	NA
TP53	Tier1	NA	CancerSMG
GNAQ	Tier1	NeuroD	NA
ESR1	Tier1	NeuroD	NA
DDR2	Tier1	NA	NA
CD274	Tier1	NA	NA
PALB2	Tier1	NA	NA
SFPQ	Tier1	NA	NA
STUB1	NA	NeuroD	NA
STRN	Tier1	NA	NA
NFE2L2	Tier1	NA	CancerSMG
PHF6	Tier1	NA	CancerSMG
PPP2R5E	NA	NeuroD	NA
LCK	Tier1	NA	NA
PPP2R5B	NA	NeuroD	NA
PPP2R5C	NA	NeuroD	NA
MTRF1L	NA	NeuroD	NA
PCBP1	NA	NA	CancerSMG
NTRK1	Tier1	NA	NA
TBX3	Tier1	NeuroD	CancerSMG
ARRB2	NA	NeuroD	NA
FBXO5	NA	NeuroD	NA
FBXO7	NA	NeuroD	NA
CHCHD10	NA	NeuroD	NA
BCORL1	Tier1	NA	NA
CD79B	Tier1	NA	NA
BCR	Tier1	NA	NA
CD79A	Tier1	NA	NA
STAT6	Tier1	NA	NA
APH1A	NA	NeuroD	NA
SNX14	NA	NeuroD	NA
STAT3	Tier1	NA	NA
GNGT2	NA	NeuroD	NA
JMJD8	NA	NeuroD	NA
CHRNB2	NA	NeuroD	NA
HOXA13	Tier1	NA	NA
HOXA11	Tier1	NA	NA
FHL1	NA	NeuroD	NA
BEAN1	NA	NeuroD	NA
RABEP1	Tier1	NA	NA
UBR5	Tier1	NA	NA
ERCC2	Tier1	NA	CancerSMG
BCL7A	Tier1	NA	NA
GOLGA5	Tier1	NA	NA
SRC	Tier1	NA	NA
TAL1	Tier1	NA	NA
PDYN	NA	NeuroD	NA
TAL2	Tier1	NA	NA
SF3B1	Tier1	NA	CancerSMG
LRTOMT	NA	NeuroD	NA
COMT	NA	NeuroD	NA
PRKN	NA	NeuroD	NA
SALL4	Tier1	NA	NA
PICALM	Tier1	NA	NA
USP6	Tier1	NA	NA
ARNTL	NA	NeuroD	NA
ATXN10	NA	NeuroD	NA
ATRX	Tier1	NA	CancerSMG
WAS	Tier1	NA	NA
RAD51B	Tier1	NA	NA
KCNJ3	NA	NeuroD	NA
GOT1	NA	NeuroD	NA
TBL1XR1	Tier1	NA	CancerSMG
KCNJ5	Tier1	NeuroD	NA
LATS2	Tier1	NA	NA
KCNJ9	NA	NeuroD	NA
GNAS	Tier1	NeuroD	NA
EGR3	NA	NA	CancerSMG
GRM1	NA	NeuroD	NA
SOX9	NA	NA	CancerSMG
IL2	Tier1	NA	NA
COL1A1	Tier1	NA	NA
GABPA	NA	NeuroD	NA
SLC18A2	NA	NeuroD	NA
ATP5PF	NA	NeuroD	NA
CDH11	Tier1	NA	NA
PPP2R1A	Tier1	NeuroD	CancerSMG
PPP2R1B	NA	NeuroD	NA
WT1	Tier1	NA	CancerSMG
SPEN	Tier1	NA	NA
BIRC3	Tier1	NA	NA
FOXO3	Tier1	NA	NA
MAP2K2	Tier1	NA	NA
MAP2K1	Tier1	NA	NA
RUNX1T1	Tier1	NA	NA
TOP1	Tier1	NA	NA
CRIPAK	NA	NA	CancerSMG
FOXO4	Tier1	NA	NA
BCL9L	Tier1	NA	NA
SPTBN2	NA	NeuroD	NA
ALDH1A3	NA	NeuroD	NA
PRICKLE2	NA	NeuroD	NA
ACAD11	NA	NeuroD	NA
FAS	Tier1	NA	NA
MLLT6	Tier1	NA	NA
MLLT1	Tier1	NA	NA
MLLT3	Tier1	NA	NA
TPO	NA	NeuroD	NA
NUTM2D	Tier1	NA	NA
NUTM2B	Tier1	NA	NA
HNRNPA2B1	Tier1	NeuroD	NA
TYRP1	NA	NeuroD	NA
ATG5	NA	NeuroD	NA
NRG1	Tier1	NA	NA
TERT	Tier1	NA	NA
PLAG1	Tier1	NA	NA
NT5C2	Tier1	NA	NA
MALT1	Tier1	NA	NA
KMT2C	Tier1	NA	NA
KMT2A	Tier1	NA	NA
SMARCB1	Tier1	NeuroD	NA
KMT2D	Tier1	NA	NA
SPOP	Tier1	NA	CancerSMG
MSI2	Tier1	NA	NA
HSPB8	NA	NeuroD	NA
GNAL	NA	NeuroD	NA
POU5F1	Tier1	NA	NA
GTPBP3	NA	NeuroD	NA
ATXN7	NA	NeuroD	NA
CYYR1	NA	NeuroD	NA
ASAH1	NA	NeuroD	NA
NCAPH2	NA	NeuroD	NA
PACRG	NA	NeuroD	NA
FSD1L	NA	NeuroD	NA
PPP1CA	NA	NeuroD	NA
DRD4	NA	NeuroD	NA
DRD5	NA	NeuroD	NA
DRD2	NA	NeuroD	NA
DRD3	NA	NeuroD	NA
CASP8	Tier1	NA	NA
TIA1	NA	NeuroD	NA
BCL9	Tier1	NA	NA
MAPT	NA	NeuroD	NA
COL6A1	NA	NeuroD	NA
ADH7	NA	NeuroD	NA
ATF6B	NA	NeuroD	NA
NAB2	Tier1	NA	NA
BCL3	Tier1	NA	NA
BCL2	Tier1	NA	NA
SSX4	Tier1	NA	NA
AOC2	NA	NeuroD	NA
SSX2	Tier1	NA	NA
MIRLET7C	NA	NeuroD	NA
SSX1	Tier1	NA	NA
WARS2	NA	NeuroD	NA
CDX2	Tier1	NA	NA
CHMP2B	NA	NeuroD	NA
AKT1	Tier1	NeuroD	CancerSMG
AKT2	Tier1	NeuroD	NA
AFG3L2	NA	NeuroD	NA
SCO2	NA	NeuroD	NA
GNG7	NA	NeuroD	NA
MAFB	Tier1	NA	NA
NKX2-1	Tier1	NeuroD	NA
PMS2	Tier1	NA	NA
GSN	NA	NeuroD	NA
RYR1	NA	NeuroD	NA
FSTL3	Tier1	NA	NA
NTRK3	Tier1	NA	NA
HSP90AB1	Tier1	NA	NA
NAV3	NA	NA	CancerSMG
SLC34A2	Tier1	NA	NA
CAPN3	NA	NeuroD	NA
ARHGAP26	Tier1	NA	NA
GOT2	NA	NeuroD	NA
MYC	Tier1	NA	NA
MYB	Tier1	NA	NA
DDIT3	Tier1	NA	NA
DDX3X	Tier1	NA	NA
MTX1	NA	NeuroD	NA
